title,release_date,original_language,vote_average,vote_count,popularity,budget,revenue,runtime
Avatar,2009-12-15,English,7.6,29219.0,250.238,237000000.0,2923706026.0,162.0
Avengers: Endgame,2019-04-24,English,8.3,23289.0,97.701,356000000.0,2794731755.0,181.0
Avatar: The Way of Water,2022-12-14,English,7.7,8493.0,1344.884,460000000.0,2320250281.0,192.0
Titanic,1997-11-18,English,7.9,22991.0,118.122,200000000.0,2264162353.0,194.0
Star Wars: The Force Awakens,2015-12-15,English,7.3,18090.0,49.402,245000000.0,2068223624.0,136.0
Avengers: Infinity War,2018-04-25,English,8.3,27040.0,180.25,300000000.0,2052415039.0,149.0
Spider-Man: No Way Home,2021-12-15,English,8.0,17545.0,448.664,200000000.0,1921847111.0,148.0
Jurassic World,2015-06-12,English,6.7,19128.0,71.232,150000000.0,1671537444.0,124.0
The Lion King,2019-07-12,English,7.1,9144.0,85.734,260000000.0,1663075401.0,118.0
The Avengers,2012-04-25,English,7.7,28706.0,112.475,220000000.0,1518815515.0,143.0
Furious 7,2015-04-01,English,7.2,9800.0,143.622,190000000.0,1515341399.0,137.0
Top Gun: Maverick,2022-05-24,English,8.3,6965.0,220.473,170000000.0,1488732821.0,131.0
Frozen II,2019-11-20,English,7.3,8890.0,86.701,150000000.0,1450026933.0,103.0
Avengers: Age of Ultron,2015-04-22,English,7.3,21383.0,86.62,365000000.0,1405403694.0,141.0
Black Panther,2018-02-13,English,7.4,20717.0,50.383,200000000.0,1349926083.0,135.0
Harry Potter and the Deathly Hallows: Part 2,2011-07-07,English,8.1,18804.0,130.742,125000000.0,1341511219.0,130.0
Star Wars: The Last Jedi,2017-12-13,English,6.8,14054.0,44.487,200000000.0,1332698830.0,152.0
Jurassic World: Fallen Kingdom,2018-06-22,English,6.5,10202.0,55.18,170000000.0,1310466296.0,129.0
Frozen,2013-11-20,English,7.2,15233.0,74.283,150000000.0,1274219009.0,102.0
Beauty and the Beast,2017-03-16,English,7.0,14706.0,63.82,160000000.0,1266115964.0,129.0
Incredibles 2,2018-06-14,English,7.5,11828.0,77.522,200000000.0,1242805359.0,118.0
The Fate of the Furious,2017-04-12,English,6.9,9532.0,135.525,250000000.0,1236005118.0,136.0
Iron Man 3,2013-04-18,English,6.9,20709.0,60.506,200000000.0,1215577205.0,130.0
Minions,2015-06-17,English,6.4,9841.0,30.152,74000000.0,1156730962.0,91.0
Captain America: Civil War,2016-04-27,English,7.4,21190.0,69.968,250000000.0,1153337496.0,147.0
Aquaman,2018-12-07,English,6.9,12694.0,59.148,160000000.0,1148528393.0,143.0
Skyfall,2012-10-24,English,7.2,14273.0,37.885,200000000.0,1142471295.0,143.0
Spider-Man: Far From Home,2019-06-28,English,7.5,14101.0,122.625,160000000.0,1131927996.0,129.0
Captain Marvel,2019-03-06,English,6.9,14339.0,52.39,152000000.0,1131416446.0,124.0
Transformers: Dark of the Moon,2011-06-28,English,6.2,7550.0,63.04,195000000.0,1123794079.0,154.0
The Lord of the Rings: The Return of the King,2003-12-01,English,8.5,21709.0,71.791,94000000.0,1118888979.0,201.0
Transformers: Age of Extinction,2014-06-25,English,5.9,7359.0,424.422,210000000.0,1104054072.0,165.0
The Dark Knight Rises,2012-07-16,English,7.8,20903.0,58.023,250000000.0,1081041287.0,165.0
Joker,2019-10-01,English,8.2,22846.0,64.169,55000000.0,1074458282.0,122.0
Star Wars: The Rise of Skywalker,2019-12-18,English,6.4,8808.0,48.72,250000000.0,1074144248.0,142.0
Toy Story 4,2019-06-19,English,7.5,8877.0,57.602,175000000.0,1073394593.0,100.0
Toy Story 3,2010-06-16,English,7.8,13502.0,62.335,200000000.0,1066969703.0,103.0
Pirates of the Caribbean: Dead Man's Chest,2006-07-06,English,7.3,14565.0,80.245,200000000.0,1065659812.0,151.0
Rogue One: A Star Wars Story,2016-12-14,English,7.5,14108.0,32.222,200000000.0,1056057273.0,133.0
Aladdin,2019-05-22,English,7.1,9256.0,53.963,183000000.0,1054304000.0,127.0
